Zona,PrecioM2
801906042,6327.04
801906045,6286.38
801906040,6162.19
801906044,6098.51
801906046,5819.86
801906048,5719.35
801906072,5615.26
801906047,5580.82
801906043,5569.77
801906067,5568.49
801906069,5497.91
801906068,5492.35
801906065,5412.2
801906054,5409.45
801906073,5341.4
801906033,5340.87
801906049,5334.69
801906086,5289.24
801906070,5222.19
801906041,5219.43
801906064,5073.03
801906053,5063.75
801906031,5025.59
801906038,4992.42
801906085,4982.09
801906057,4884.4
801906032,4866.59
801906058,4849.19
801906052,4841.8
801906066,4799.51
801906039,4786.21
801906051,4777.88
801906035,4774.11
801906002,4765.96
801906050,4765.08
801906060,4697.67
801906056,4691.7
801906084,4690.15
801906007,4683.62
801906028,4658.6
801906059,4655.36
801906037,4652.61
801906022,4641.25
801906088,4640.08
801906081,4638.28
801906026,4637.57
801906036,4634.43
801906087,4626.73
801906079,4622.33
801906076,4609.06
801906006,4575.9
801906061,4559.81
801906025,4542.25
801906078,4525.6
801906077,4514.01
801906020,4511.45
801906001,4504.34
801906021,4445.65
801906083,4433.83
801906030,4427.34
801906062,4427.01
801906071,4418.13
801906063,4371.94
801906074,4358.04
801906080,4351.97
801906008,4351.89
801906034,4224.27
801906024,4183.23
801906082,4151.78
801906055,4125.59
801906027,4117.27
801906029,4094.7
801906075,4062.67
801906010,4014.16
801906023,3995.91
801906019,3911.59
801906012,3756.62
801906003,3753.05
801906009,3738.6
801906018,3737.83
801906013,3538.27
801906011,3486.87
801906014,3100.93
801906004,3060.59
801906016,2901.51
801906015,2492.21
801906017,2212.1
801902083,9072.01
801902078,9018.68
801902081,8924.23
801902079,8881.96
801902080,8443.48
801902082,8005.67
801902061,6865.29
801902073,6665.73
801902076,6640.29
801902074,6628.67
801902075,6410.13
801902088,6347.79
801902063,6310.98
801902048,6228.33
801902006,6164.02
801902089,6163.18
801902069,6160.03
801902084,6139.94
801902085,6110.48
801902072,6098.31
801902086,5956.58
801902090,5955.07
801902065,5947.42
801902092,5944.6
801902056,5905.32
801902091,5858.05
801902054,5841.65
801902071,5685.06
801902108,5625.64
801902060,5615.27
801902104,5609.21
801902098,5560.17
801902106,5539.29
801902044,5529.08
801902064,5513.41
801902105,5439.73
801902058,5424.56
801902094,5395.99
801902096,5391.61
801902055,5366.5
801902007,5356.04
801902102,5323.52
801902103,5305.25
801902107,5285.72
801902077,5279.36
801902049,5267.7
801902059,5267.15
801902117,5255.91
801902101,5244.07
801902109,5223.72
801902070,5163.76
801902062,5157.09
801902093,5135.16
801902057,5097.28
801902025,5078.22
801902014,5050.57
801902035,5039.98
801902164,5034.84
801902128,5003.19
801902121,4960.51
801902165,4947.0
801902145,4941.27
801902142,4940.6
801902137,4903.13
801902119,4902.12
801902005,4888.82
801902118,4885.86
801902018,4883.14
801902126,4882.53
801902135,4869.66
801902034,4866.73
801902127,4865.47
801902047,4864.54
801902043,4855.91
801902004,4851.52
801902095,4845.81
801902140,4840.23
801902136,4839.0
801902017,4792.51
801902171,4792.05
801902053,4779.19
801902087,4769.98
801902150,4768.55
801902032,4758.2
801902002,4756.84
801902052,4754.99
801902067,4745.57
801902099,4741.35
801902141,4739.83
801902111,4738.88
801902123,4731.26
801902068,4714.95
801902110,4710.14
801902139,4704.08
801902033,4693.3
801902116,4683.36
801902163,4680.79
801902009,4679.6
801902124,4677.83
801902008,4667.86
801902016,4656.52
801902037,4646.12
801902147,4622.78
801902138,4614.27
801902011,4599.27
801902045,4596.37
801902019,4570.93
801902172,4567.41
801902143,4556.27
801902001,4534.25
801902066,4517.91
801902012,4509.75
801902100,4507.17
801902125,4502.92
801902132,4496.22
801902050,4495.83
801902154,4481.24
801902015,4479.02
801902112,4457.95
801902038,4449.65
801902159,4447.17
801902133,4446.71
801902122,4430.22
801902120,4423.51
801902113,4413.54
801902051,4404.35
801902022,4378.96
801902036,4363.51
801902134,4333.42
801902129,4333.21
801902027,4331.2
801902153,4328.15
801902146,4301.16
801902114,4280.92
801902158,4280.69
801902013,4275.05
801902028,4269.82
801902173,4268.27
801902130,4256.94
801902162,4254.54
801902151,4244.53
801902023,4228.45
801902156,4220.77
801902157,4216.63
801902115,4214.24
801902144,4209.37
801902155,4197.37
801902039,4143.52
801902152,4142.47
801902042,4132.62
801902167,4130.21
801902020,4122.91
801902046,4119.38
801902131,4115.01
801902161,4113.07
801902021,4102.24
801902010,4100.82
801902160,4093.2
801902031,4083.48
801902026,4072.21
801902029,4064.83
801902097,4031.62
801902168,4025.38
801902003,4024.15
801902149,3959.75
801902166,3948.63
801902030,3915.35
801902024,3907.11
801902041,3865.04
801902148,3801.69
801902169,3765.9
801902170,3727.89
801902040,3678.81
801901032,7210.66
801901034,6126.45
801901046,5922.33
801901026,5730.4
801901044,5564.12
801901022,5315.37
801901033,5255.79
801901031,5248.93
801901045,5239.35
801901023,5207.77
801901043,5205.43
801901052,5182.24
801901028,5161.61
801901039,5039.78
801901027,5026.06
801901042,4969.41
801901040,4951.12
801901030,4930.3
801901025,4918.86
801901038,4871.82
801901035,4854.35
801901037,4803.63
801901047,4803.09
801901055,4732.23
801901054,4695.34
801901002,4681.71
801901021,4632.64
801901050,4562.57
801901005,4531.55
801901036,4482.51
801901001,4463.0
801901049,4439.54
801901029,4430.92
801901048,4401.36
801901053,4374.7
801901041,4317.34
801901020,4307.72
801901051,4275.44
801901004,4253.12
801901006,4226.28
801901019,4207.88
801901016,3831.5
801901012,3716.19
801901003,3671.03
801901007,3492.82
801901008,3491.35
801901015,3462.82
801901018,3425.07
801901017,3409.82
801901014,3305.85
801901010,3296.82
801901011,3277.95
801901009,3253.34
801901013,3251.15
801903114,4770.13
801903107,4587.88
801903049,4579.08
801903046,4510.86
801903112,4437.74
801903048,4292.26
801903113,4155.87
801903012,4120.6
801903111,4093.02
801903056,4054.61
801903047,3995.45
801903110,3991.25
801903042,3967.48
801903055,3965.03
801903053,3954.91
801903100,3949.17
801903088,3942.79
801903017,3884.36
801903044,3872.1
801903101,3867.15
801903052,3865.0
801903005,3860.76
801903057,3853.79
801903020,3848.18
801903011,3842.34
801903004,3838.06
801903085,3837.34
801903086,3797.4
801903054,3787.09
801903024,3784.36
801903001,3768.89
801903087,3757.9
801903021,3755.62
801903089,3733.77
801903002,3731.23
801903015,3729.36
801903010,3726.47
801903064,3715.32
801903081,3706.46
801903095,3704.05
801903023,3698.03
801903108,3689.31
801903090,3656.57
801903094,3648.5
801903018,3640.32
801903082,3633.65
801903065,3626.64
801903014,3624.07
801903043,3618.25
801903013,3594.47
801903067,3584.86
801903045,3559.93
801903096,3555.52
801903051,3546.41
801903009,3542.02
801903040,3530.63
801903041,3519.64
801903077,3517.43
801903074,3514.63
801903073,3511.93
801903105,3509.44
801903079,3508.19
801903106,3488.21
801903083,3483.27
801903016,3474.57
801903003,3469.8
801903028,3468.45
801903063,3462.04
801903097,3430.84
801903075,3425.61
801903061,3420.01
801903059,3406.08
801903078,3405.26
801903099,3404.69
801903084,3403.2
801903071,3367.3
801903050,3356.48
801903058,3351.23
801903038,3340.92
801903019,3330.07
801903102,3328.13
801903091,3325.84
801903076,3320.09
801903072,3316.87
801903080,3305.86
801903025,3299.36
801903109,3285.97
801903006,3272.83
801903068,3265.94
801903069,3263.66
801903093,3258.54
801903036,3240.5
801903212,3226.05
801903092,3218.2
801903022,3201.86
801903060,3195.48
801903027,3146.57
801903213,3109.21
801903062,3095.22
801903098,3092.16
801903037,3085.42
801903103,3076.22
801903104,3064.03
801903070,3053.03
801903034,3025.48
801903030,2990.17
801903035,2982.12
801903008,2921.33
